category,key,en,hi,ta,te,kn,ml,bn,mr,gu,pa,en_short,hi_short,ta_short,te_short,kn_short,ml_short,bn_short,mr_short,gu_short,pa_short
term,lagna,Lagna,लग्न,லக்னம்,లగ్నం,ಲಗ್ನ,ലഗ്നം,লগ্ন,लग्न,લગ્ન,ਲਗਨ,Lag,लग्,லக்,లగ్,ಲಗ್,ലഗ്,লগ্,लग्,લગ્,ਲਗ
term,dasha,Dasha,दशा,தசை,దశ,ದಶೆ,ദശ,দশা,दशा,દશા,ਦਸ਼ਾ,Da,द,த,ద,ದ,ദ,দ,द,દ,ਦ
rashi,aries,Aries,मेष,மேஷம்,మేషం,ಮೇಷ,മേടം,মেষ,मेष,મેષ,ਮੇਖ,Ar,,,,,,,,,
rashi,taurus,Taurus,वृषभ,ரிஷபம்,వృషభం,ವೃಷಭ,ഇടവം,বৃষ,वृषभ,વૃષભ,ਵ੍ਰਿਸ਼ਭ,Ta,,,,,,,,,
rashi,gemini,Gemini,मिथुन,மிதுனம்,మిథునం,ಮಿಥುನ,മിഥുനം,মিথুন,मिथुन,મિથુન,ਮਿਥੁਨ,Ge,,,,,,,,,
rashi,cancer,Cancer,कर्क,கடகம்,కర్కాటకం,ಕರ್ಕಾಟಕ,കർക്കിടകം,কর্কট,कर्क,કર્ક,ਕਰਕ,Ca,,,,,,,,,
rashi,leo,Leo,सिंह,சிம்மம்,సింహం,ಸಿಂಹ,ചിങ്ങം,সিংহ,सिंह,સિંહ,ਸਿੰਘ,Le,,,,,,,,,
rashi,virgo,Virgo,कन्या,கன்னி,కన్య,ಕನ್ಯಾ,കന്നി,কন্যা,कन्या,કન્યા,ਕੰਨਿਆ,Vi,,,,,,,,,
rashi,libra,Libra,तुला,துலாம்,తుల,ತುಲಾ,തുലാം,তুলা,तूळ,તુલા,ਤੁਲਾ,Li,,,,,,,,,
rashi,scorpio,Scorpio,वृश्चिक,விருச்சிகம்,వృశ్చికం,ವೃಶ್ಚಿಕ,വൃശ്ചികം,বৃশ্চিক,वृश्चिक,વૃશ્ચિક,ਵ੍ਰਿਸ਼ਚਿਕ,Sc,,,,,,,,,
rashi,sagittarius,Sagittarius,धनु,தனுசு,ధనుస్సు,ಧನು,ധനു,ধনু,धनु,ધનુ,ਧਨੁ,Sa,,,,,,,,,
rashi,capricorn,Capricorn,मकर,மகரம்,మకరం,ಮಕರ,മകരം,মকর,मकर,મકર,ਮਕਰ,Ca,,,,,,,,,
rashi,aquarius,Aquarius,कुंभ,கும்பம்,కుంభం,ಕುಂಭ,കുംഭം,কুম্ভ,कुंभ,કુંભ,ਕੁੰਭ,Aq,,,,,,,,,
rashi,pisces,Pisces,मीन,மீனம்,మీనం,ಮೀನ,മീനം,মীন,मीन,મીન,ਮੀਨ,Pi,,,,,,,,,
varga,d1,Rashi,राशि कुंडली,ராசி சக்கரம்,రాశి చక్రం,ರಾಶಿ ಚಕ್ರ,രാശി ചക്രം,রাশি চক্র,राशी कुंडली,રાશિ ચક્ર,ਰਾਸ਼ੀ ਚੱਕਰ,,,,,,,,,,
varga,d2,Hora,होरा,ஹோரா,హోరా,ಹೋರಾ,ഹോര,হোরা,होरा,હોરા,ਹੋਰਾ,,,,,,,,,,
varga,d3,Drekkana,द्रेष्काण,திரேக்காணம்,ద్రెక్కాణం,ದ್ರೆಕ್ಕಾಣ,ദ്രേക്കാണം,দ্রেক্কান,द्रेष्काण,દ્રેક્કાણ,ਦ੍ਰੇਕਾਣ,,,,,,,,,,
varga,d4,Chaturthamsha,चतुर्थांश,சதுர்த்தாம்சம்,చతుర్థాంశ,ಚತುರ್ಥಾಂಶ,ചതുർഥാംശം,চতুর্থাংশ,चतुर्थांश,ચતુર્થાંશ,ਚਤੁਰਥਾਂਸ਼,,,,,,,,,,
varga,d7,Saptamsha,सप्तमांश,சப்தாம்சம்,సప్తాంశ,ಸಪ್ತಾಂಶ,സപ്താംശം,সপ্তমাংশ,सप्तमांश,સપ્તમાંશ,ਸਪਤਮਾਂਸ਼,,,,,,,,,,
varga,d9,Navamsha,नवांश,நவாம்சம்,నవాంశం,ನವಾಂಶ,നവാംശം,নবাংশ,नवांश,નવમાંશ,ਨਵਾਂਸ਼,,,,,,,,,,
varga,d10,Dashamsha,दशमांश,தசாம்சம்,దశాంశం,ದಶಾಂಶ,ദശാംശം,দশমাংশ,दशमांश,દશાંશ,ਦਸ਼ਾਂਸ਼,,,,,,,,,,
varga,d12,Dvadashamsha,द्वादशांश,துவாதசாம்சம்,ద్వాదశాంశం,ದ್ವಾದಶಾಂಶ,ദ്വാദശാംശം,দ্বাদশাংশ,द्वादशांश,દ્વાદશાંશ,ਦੁਆਦਸ਼ਾਂਸ਼,,,,,,,,,,
varga,d16,Shodashamsha,षोडशांश,ஷோடசாம்சம்,షోడశాంశం,ಷೋಡಶಾಂಶ,ഷോഡശാംശം,ষোড়শাংশ,षोडशांश,ષોડશાંશ,ਸ਼ੋਡਸ਼ਾਂਸ਼,,,,,,,,,,
varga,d20,Vimshamsha,विंशांश,விம்சாம்சம்,వింశాంశం,ವಿಂಶಾಂಶ,വിംശാംശം,বিংশাংশ,विंशांश,વિંશાંશ,ਵਿੰਸ਼ਾਂਸ਼,,,,,,,,,,
varga,d24,Chaturvimshamsha,चतुर्विंशांश,சதுர்விம்சாம்சம்,చతుర్వింశాంశం,ಚತುರ್ವಿಂಶಾಂಶ,ചതുർവിംശാംശം,চতুর্বিংশাংশ,चतुर्विंशांश,ચતુર્વિંશાંશ,ਚਤੁਰਵਿੰਸ਼ਾਂਸ਼,,,,,,,,,,
varga,d27,Saptavimshamsha,सप्तविंशांश,சப்தவிம்சாம்சம்,సప్తవింశాంశం,ಸಪ್ತವಿಂಶಾಂಶ,സപ്തവിംശാംശം,সপ্তবিংশাংশ,सप्तविंशांश,સપ્તવિંશાંશ,ਸਪਤਵਿੰਸ਼ਾਂਸ਼,,,,,,,,,,
varga,d30,Trimshamsha,त्रिंशांश,திரிம்சாம்சம்,త్రింశాంశం,ತ್ರಿಂಶಾಂಶ,ത്രിംശാംശം,ত্রিংশাংশ,त्रिंशांश,ત્રિંશાંશ,ਤ੍ਰਿੰਸ਼ਾਂਸ਼,,,,,,,,,,
varga,d40,Khavedamsha,खवेदांश,கவேதாம்சம்,ఖవేదాంశం,ಖವೇದಾಂಶ,ഖവേദാംശം,খবেদাংশ,खवेदांश,ખવેદાંશ,ਖਵੇਦਾਂਸ਼,,,,,,,,,,
varga,d45,Akshavedamsha,अक्षवेदांश,அக்ஷவேதாம்சம்,అక్షవేదాంశం,ಅಕ್ಷವೇದಾಂಶ,അക്ഷവേദാംശം,অক্ষবেদাংশ,अक्षवेदांश,અક્ષવેદાંશ,ਅਕਸ਼ਵੇਦਾਂਸ਼,,,,,,,,,,
varga,d60,Shashtyamsha,षष्ट्यांश,ஷஷ்ட்யாம்சம்,షష్ట్యాంశం,ಷಷ್ಟ್ಯಾಂಶ,ഷഷ്ട്യാംശം,ষষ্ট্যাংশ,षष्ट्यांश,ષષ્ટ્યાંશ,ਸ਼ਸ਼ਟਿਆਂਸ਼,,,,,,,,,,
